Band,SZA,VZA,RAA,R_atm
B1,30,30,150,0.079
B1,30,30,160,0.078
B1,30,30,170,0.077
B1,30,30,180,0.077
B1,30,40,0,0.13
B1,30,40,10,0.129
B1,30,40,20,0.127
B1,30,40,30,0.125
B1,30,40,40,0.121
B1,30,40,50,0.117
B1,30,40,60,0.112
B1,30,40,70,0.107
B1,30,40,80,0.103
B1,30,40,90,0.098
B1,30,40,100,0.094
B1,30,40,110,0.09
B1,30,40,120,0.086
B1,30,40,130,0.084
B1,30,40,140,0.081
B1,30,40,150,0.08
B1,30,40,160,0.079
B1,30,40,170,0.078
B1,30,40,180,0.078
B1,30,50,0,0.145
B1,30,50,10,0.144
B1,30,50,20,0.142
B1,30,50,30,0.138
B1,30,50,40,0.134
B1,30,50,50,0.128
B1,30,50,60,0.123
B1,30,50,70,0.117
B1,30,50,80,0.111
B1,30,50,90,0.105
B1,30,50,100,0.1
B1,30,50,110,0.096
B1,30,50,120,0.093
B1,30,50,130,0.09
B1,30,50,140,0.088
B1,30,50,150,0.086
B1,30,50,160,0.085
B1,30,50,170,0.085
B1,30,50,180,0.085
B1,30,60,0,0.167
B1,30,60,10,0.166
B1,30,60,20,0.163
B1,30,60,30,0.159
B1,30,60,40,0.153
B1,30,60,50,0.146
B1,30,60,60,0.139
B1,30,60,70,0.132
B1,30,60,80,0.125
B1,30,60,90,0.119
B1,30,60,100,0.114
B1,30,60,110,0.11
B1,30,60,120,0.107
B1,30,60,130,0.105
B1,30,60,140,0.103
B1,30,60,150,0.103
B1,30,60,160,0.102
B1,30,60,170,0.102
B1,30,60,180,0.102
B1,30,70,0,0.204
B1,30,70,10,0.202
B1,30,70,20,0.199
B1,30,70,30,0.193
B1,30,70,40,0.186
B1,30,70,50,0.178
B1,30,70,60,0.17
B1,30,70,70,0.162
B1,30,70,80,0.154
B1,30,70,90,0.148
B1,30,70,100,0.143
B1,30,70,110,0.14
B1,30,70,120,0.138
B1,30,70,130,0.137
B1,30,70,140,0.137
B1,30,70,150,0.138
B1,30,70,160,0.139
B1,30,70,170,0.139
B1,30,70,180,0.14
B1,30,80,0,0.276
B1,30,80,10,0.275
B1,30,80,20,0.27
B1,30,80,30,0.263
B1,30,80,40,0.254
B1,30,80,50,0.244
B1,30,80,60,0.234
B1,30,80,70,0.225
B1,30,80,80,0.217
B1,30,80,90,0.212
B1,30,80,100,0.208
